bridge_version,repo,scenario_id,scenario_label,channel,family,h,baseline_id,dose_metric,dose_value,delta_trlowz,delta_ipovall,delta_ipovch,delta_rydpc,delta_iginihh,delta_imedrinc,notes
v1,fp,ineq-ui-relief,UI Medium,ui,ui,2,ineq-baseline-observed,delta_trlowz,0.15316233759999998,0.15316233759999998,-0.002939141850000007,-0.007421544209999992,0.1740079930000018,0.001964317259999959,0.25333005799998887,secondary_metrics_provisional
v1,fp,ineq-ui-relief,UI Medium,ui,ui,4,ineq-baseline-observed,delta_trlowz,0.1503875186000001,0.1503875186000001,-0.003056637969999998,-0.007554281969999993,0.1855342879999995,0.0020471553799999986,0.27215184900001077,secondary_metrics_provisional
v1,fp,ineq-ui-relief,UI Medium,ui,ui,8,ineq-baseline-observed,delta_trlowz,0.14555706329999962,0.14555706329999962,-0.0030736690400000044,-0.007442648900000015,0.20086995499999816,0.0020582132899999994,0.2923765869999926,secondary_metrics_provisional
v1,fp,ineq-ui-shock,UI Shock,ui,ui,2,ineq-baseline-observed,delta_trlowz,-0.021285432799999615,-0.021285432799999615,0.0004234644799999965,0.0010814284100000016,-0.024335305999999335,-0.0002793746299999955,-0.03623955700000181,secondary_metrics_provisional
v1,fp,ineq-ui-shock,UI Shock,ui,ui,4,ineq-baseline-observed,delta_trlowz,-0.020914831799999867,-0.020914831799999867,0.00044160853999999916,0.001103606360000009,-0.026051887999997803,-0.00029185964000000286,-0.03904707399999552,secondary_metrics_provisional
v1,fp,ineq-ui-shock,UI Shock,ui,ui,8,ineq-baseline-observed,delta_trlowz,-0.020269882600000066,-0.020269882600000066,0.0004453340100000064,0.0010900014699999905,-0.02834839200000161,-0.0002943443900000342,-0.042102524000000585,secondary_metrics_provisional
v1,fp,ineq-ui-small,UI Small,ui,ui,2,ineq-baseline-observed,delta_trlowz,0.07584209650000018,0.07584209650000018,-0.0014712312399999955,-0.00373420599999999,0.08628661800000081,0.0009776545999999886,0.12635027199999627,secondary_metrics_provisional
v1,fp,ineq-ui-small,UI Small,ui,ui,4,ineq-baseline-observed,delta_trlowz,0.07448961809999988,0.07448961809999988,-0.001531402370000004,-0.003804332949999989,0.09209577600000074,0.0010196157899999836,0.1358496170000052,secondary_metrics_provisional
v1,fp,ineq-ui-small,UI Small,ui,ui,8,ineq-baseline-observed,delta_trlowz,0.07213472209999994,0.07213472209999994,-0.0015414462299999931,-0.00375137834,0.09983985899999936,0.0010262155099999837,0.1461051259999948,secondary_metrics_provisional
v1,fp,ineq-ui-large,UI Large,ui,ui,2,ineq-baseline-observed,delta_trlowz,0.22880124680000025,0.22880124680000025,-0.004351181110000005,-0.010931046619999996,0.2596864880000016,0.0029243022799999574,0.3764138379999906,secondary_metrics_provisional
v1,fp,ineq-ui-large,UI Large,ui,ui,4,ineq-baseline-observed,delta_trlowz,0.22459344020000005,0.22459344020000005,-0.00452166708,-0.011117923279999997,0.2766745129999997,0.003045792150000004,0.4041116970000047,secondary_metrics_provisional
v1,fp,ineq-ui-large,UI Large,ui,ui,8,ineq-baseline-observed,delta_trlowz,0.21727001649999966,0.21727001649999966,-0.0045428782200000045,-0.010945120410000009,0.29923472899999837,0.003059301449999996,0.4337408399999987,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-relief,Federal Transfer Relief,broad_federal_transfers,federal-transfers,2,ineq-baseline-observed,delta_trlowz,0.00732187200000034,0.00732187200000034,-0.00010237490000000737,-0.00028177243999999435,0.008367630000000403,9.63365999999688e-05,0.012486125999998876,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-relief,Federal Transfer Relief,broad_federal_transfers,federal-transfers,4,ineq-baseline-observed,delta_trlowz,0.00731994810000014,0.00731994810000014,-0.00011041871000000425,-0.0002947454099999913,0.009097514000000473,0.0001022420599999796,0.013655448999998043,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-relief,Federal Transfer Relief,broad_federal_transfers,federal-transfers,8,ineq-baseline-observed,delta_trlowz,0.007316110599999703,0.007316110599999703,-0.00011524149000000095,-0.00030008545000001496,0.010167280000001,0.00010618867000000698,0.01511583299999586,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-shock,Federal Transfer Shock,broad_federal_transfers,federal-transfers,2,ineq-baseline-observed,delta_trlowz,-0.007321827999999808,-0.007321827999999808,0.00010246203000000009,0.0002822461300000245,-0.008367893999999154,-9.633975000000738e-05,-0.01249074900000835,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-shock,Federal Transfer Shock,broad_federal_transfers,federal-transfers,4,ineq-baseline-observed,delta_trlowz,-0.007319779499999957,-0.007319779499999957,0.00011052346999999851,0.0002952746500000103,-0.009097816000000591,-0.00010224724000001961,-0.013660827999999015,secondary_metrics_provisional
v1,fp,ineq-federal-transfer-shock,Federal Transfer Shock,broad_federal_transfers,federal-transfers,8,ineq-baseline-observed,delta_trlowz,-0.007315648500000105,-0.007315648500000105,0.00011536346000000364,0.0003006560699999883,-0.010167424999998786,-0.00010619785999999021,-0.015122149000006857,secondary_metrics_provisional
v1,fp,ineq-transfer-composite-small,Transfer Composite Small,transfer_composite,transfer-composite,2,ineq-baseline-observed,delta_trlowz,0.07626276060000015,0.07626276060000015,-0.001375977260000008,-0.003514534399999991,0.06837572400000091,0.0009672129599999635,0.10025592899999936,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-small,Transfer Composite Small,transfer_composite,transfer-composite,4,ineq-baseline-observed,delta_trlowz,0.0753402112999999,0.0753402112999999,-0.0014250536599999947,-0.003569876810000011,0.07299601500000108,0.001002352849999999,0.10781326299999705,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-small,Transfer Composite Small,transfer_composite,transfer-composite,8,ineq-baseline-observed,delta_trlowz,0.07377214129999965,0.07377214129999965,-0.0014358003800000047,-0.0035277189300000067,0.07915769399999917,0.0010112416799999968,0.11598009499999762,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-medium,Transfer Composite Medium,transfer_composite,transfer-composite,2,ineq-baseline-observed,delta_trlowz,0.15332710120000037,0.15332710120000037,-0.002791687240000007,-0.007084583329999977,0.14557350699999994,0.0019434306699999682,0.2122453399999955,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-medium,Transfer Composite Medium,transfer_composite,transfer-composite,4,ineq-baseline-observed,delta_trlowz,0.1512080297999998,0.1512080297999998,-0.0028919257199999937,-0.007194480129999986,0.1552563900000017,0.0020154068200000097,0.2280652950000075,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-medium,Transfer Composite Medium,transfer_composite,transfer-composite,8,ineq-baseline-observed,delta_trlowz,0.14757444809999987,0.14757444809999987,-0.0029099470900000035,-0.007098932820000015,0.16814704799999802,0.0020298333200000074,0.24508914700000162,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-large,Transfer Composite Large,transfer_composite,transfer-composite,2,ineq-baseline-observed,delta_trlowz,0.22981443120000034,0.22981443120000034,-0.004189730690000004,-0.010570704089999994,0.2245223840000019,0.0029090661499999726,0.325919399,secondary_metrics_provisional; financed_transfer_package
v1,fp,ineq-transfer-composite-large,Transfer Composite Large,transfer_composite,transfer-composite,4,ineq-baseline-observed,delta_trlowz,0.22639704319999998,0.22639704319999998,-0.0043392435499999965,-0.010729739709999991,0.2392720720000021,0.003017140020000031,0.3499845270000037,secondary_metrics_provisional; financed_transfer_package
