period,value
2015.1,62
2015.2,62
2015.3,62
2015.4,62
2016.1,63.7
2016.2,63.7
2016.3,63.7
2016.4,63.7
2017.1,65
2017.2,65
2017.3,65
2017.4,65
2018.1,66.2
2018.2,66.2
2018.3,66.2
2018.4,66.2
2019.1,68
2019.2,68
2019.3,68
2019.4,68
2020.1,67.4
2020.2,67.4
2020.3,67.4
2020.4,67.4
2021.1,66.8
2021.2,66.8
2021.3,66.8
2021.4,66.8
2022.1,65.1
2022.2,65.1
2022.3,65.1
2022.4,65.1
2023.1,66
2023.2,66
2023.3,66
2023.4,66
2024.1,66.8
2024.2,66.8
2024.3,66.8
2024.4,66.8
2025.1,67.2
2025.2,67.2
2025.3,67.2
2025.4,67.2
