period,value
2015.1,0.479
2015.2,0.479
2015.3,0.479
2015.4,0.479
2016.1,0.481
2016.2,0.481
2016.3,0.481
2016.4,0.481
2017.1,0.483
2017.2,0.483
2017.3,0.483
2017.4,0.483
2018.1,0.485
2018.2,0.485
2018.3,0.485
2018.4,0.485
2019.1,0.486
2019.2,0.486
2019.3,0.486
2019.4,0.486
2020.1,0.488
2020.2,0.488
2020.3,0.488
2020.4,0.488
2021.1,0.494
2021.2,0.494
2021.3,0.494
2021.4,0.494
2022.1,0.492
2022.2,0.492
2022.3,0.492
2022.4,0.492
2023.1,0.491
2023.2,0.491
2023.3,0.491
2023.4,0.491
2024.1,0.49
2024.2,0.49
2024.3,0.49
2024.4,0.49
2025.1,0.489
2025.2,0.489
2025.3,0.489
2025.4,0.489
