period,value
2015.1,1.28
2015.2,1.28
2015.3,1.28
2015.4,1.28
2016.1,1.3
2016.2,1.3
2016.3,1.3
2016.4,1.3
2017.1,1.33
2017.2,1.33
2017.3,1.33
2017.4,1.33
2018.1,1.36
2018.2,1.36
2018.3,1.36
2018.4,1.36
2019.1,1.38
2019.2,1.38
2019.3,1.38
2019.4,1.38
2020.1,1.46
2020.2,1.46
2020.3,1.46
2020.4,1.46
2021.1,1.49
2021.2,1.49
2021.3,1.49
2021.4,1.49
2022.1,1.47
2022.2,1.47
2022.3,1.47
2022.4,1.47
2023.1,1.45
2023.2,1.45
2023.3,1.45
2023.4,1.45
2024.1,1.44
2024.2,1.44
2024.3,1.44
2024.4,1.44
2025.1,1.43
2025.2,1.43
2025.3,1.43
2025.4,1.43
