period,value
2015.1,0.188
2015.2,0.188
2015.3,0.188
2015.4,0.188
2016.1,0.176
2016.2,0.176
2016.3,0.176
2016.4,0.176
2017.1,0.171
2017.2,0.171
2017.3,0.171
2017.4,0.171
2018.1,0.162
2018.2,0.162
2018.3,0.162
2018.4,0.162
2019.1,0.149
2019.2,0.149
2019.3,0.149
2019.4,0.149
2020.1,0.161
2020.2,0.161
2020.3,0.161
2020.4,0.161
2021.1,0.122
2021.2,0.122
2021.3,0.122
2021.4,0.122
2022.1,0.164
2022.2,0.164
2022.3,0.164
2022.4,0.164
2023.1,0.158
2023.2,0.158
2023.3,0.158
2023.4,0.158
2024.1,0.154
2024.2,0.154
2024.3,0.154
2024.4,0.154
2025.1,0.151
2025.2,0.151
2025.3,0.151
2025.4,0.151
